,index,Unicode_Character,character,structure,segment,pinyin,segment1,segment2,pinyin1,pinyin2,consonant,vowel,tone,consonant1,vowel1,tone1,consonant2,vowel2,tone2,segment1_sound,segment2_sound
126,175,U+04F9A,侚,0,亻旬,xun4,亻,旬,ren2,xun2,x,un,4,r,en,2,x,un,2,"[0, 0, 0]","[1, 1, 0]"
127,176,U+04F9B,供,0,亻共,gong1,亻,共,ren2,gong4,g,ong,1,r,en,2,g,ong,4,"[0, 0, 0]","[1, 1, 0]"
128,177,U+04F9C,侜,0,亻舟,zhou1,亻,舟,ren2,zhou1,zh,ou,1,r,en,2,zh,ou,1,"[0, 0, 0]","[1, 1, 1]"
129,178,U+04F9D,依,0,亻衣,yi1,亻,衣,ren2,yi1,y,i,1,r,en,2,y,i,1,"[0, 0, 0]","[1, 1, 1]"
131,180,U+04FAE,侮,0,亻毎,wu3,亻,毎,ren2,mei3,w,u,3,r,en,2,m,ei,3,"[0, 0, 0]","[0, 0, 1]"
132,181,U+04FB0,侰,0,亻君,jiong3,亻,君,ren2,jun1,j,iong,3,r,en,2,j,un,1,"[0, 0, 0]","[1, 0, 0]"
133,182,U+04FB2,侲,0,亻辰,zhen4,亻,辰,ren2,chen2,zh,en,4,r,en,2,ch,en,2,"[0, 1, 0]","[0, 1, 0]"
134,183,U+04FB6,侶,0,亻呂,lv3,亻,呂,ren2,lv3,l,v,3,r,en,2,l,v,3,"[0, 0, 0]","[1, 1, 1]"
135,184,U+04FB8,侸,0,亻豆,shu4,亻,豆,ren2,dou4,sh,u,4,r,en,2,d,ou,4,"[0, 0, 0]","[0, 0, 1]"
136,185,U+04FB9,侹,0,亻廷,ting3,亻,廷,ren2,ting2,t,ing,3,r,en,2,t,ing,2,"[0, 0, 0]","[1, 1, 0]"
137,186,U+04FC1,俁,0,亻吳,yu3,亻,吳,ren2,wu2,y,u,3,r,en,2,w,u,2,"[0, 0, 0]","[0, 1, 0]"
138,187,U+04FC2,係,0,亻系,xi4,亻,系,ren2,xi4,x,i,4,r,en,2,x,i,4,"[0, 0, 0]","[1, 1, 1]"
139,188,U+04FC3,促,0,亻足,cu4,亻,足,ren2,zu2,c,u,4,r,en,2,z,u,2,"[0, 0, 0]","[0, 1, 0]"
140,189,U+04FC4,俄,0,亻我,e2,亻,我,ren2,wo3,00,e,2,r,en,2,w,o,3,"[0, 0, 1]","[0, 0, 0]"
141,190,U+04FC5,俅,0,亻求,qiu2,亻,求,ren2,qiu2,q,iu,2,r,en,2,q,iu,2,"[0, 0, 1]","[1, 1, 1]"
